r(0,0,5,0,0)
r(93,0,5,0,1)
r(9,0,5,0,2)
r(72,0,5,0,3)
r(97,0,5,0,4)
r(84,0,5,0,5)
r(66,0,5,0,6)
r(53,0,5,0,7)
r(99,0,5,0,8)
r(13,0,5,0,9)
r(18,0,5,0,10)
r(29,0,5,0,11)
w(35,10001,5,0,12)
w(71,10002,5,0,13)
w(5,10003,5,0,14)
w(41,10004,5,0,15)
w(14,10005,5,0,16)
w(79,10006,5,0,17)
w(51,10007,5,0,18)
w(98,10008,5,0,19)
r(26,0,5,1,20)
r(28,4010,5,1,21)
r(1,0,5,1,22)
r(77,2009,5,1,23)
r(32,4007,5,1,24)
r(20,0,5,1,25)
r(58,4001,5,1,26)
r(73,2010,5,1,27)
r(7,0,5,1,28)
r(62,0,5,1,29)
r(43,0,5,1,30)
w(87,10009,5,1,31)
w(96,10010,5,1,32)
w(83,10011,5,1,33)
w(14,10012,5,1,34)
w(23,10013,5,1,35)
w(95,10014,5,1,36)
w(32,10015,5,1,37)
w(17,10016,5,1,38)
w(57,10017,5,1,39)
r(79,10006,5,2,40)
r(19,0,5,2,41)
r(67,0,5,2,42)
r(37,4004,5,2,43)
r(10,0,5,2,44)
r(40,0,5,2,45)
r(25,6009,5,2,46)
r(55,0,5,2,47)
r(94,0,5,2,48)
r(55,0,5,2,49)
r(22,2016,5,2,50)
r(90,6003,5,2,51)
r(45,0,5,2,52)
r(4,0,5,2,53)
r(9,0,5,2,54)
r(4,0,5,2,55)
r(84,0,5,2,56)
r(14,10012,5,2,57)
r(25,6009,5,2,58)
r(14,10012,5,2,59)
r(37,4004,5,3,60)
r(21,6011,5,3,61)
r(63,6015,5,3,62)
r(18,0,5,3,63)
r(62,0,5,3,64)
r(32,10015,5,3,65)
r(76,0,5,3,66)
r(85,2007,5,3,67)
w(90,10018,5,3,68)
w(85,10019,5,3,69)
w(76,10020,5,3,70)
w(9,10021,5,3,71)
w(51,10022,5,3,72)
w(29,10023,5,3,73)
w(19,10024,5,3,74)
w(58,10025,5,3,75)
w(40,10026,5,3,76)
w(61,10027,5,3,77)
w(30,10028,5,3,78)
w(24,10029,5,3,79)
r(95,8025,5,4,80)
r(39,0,5,4,81)
r(33,6028,5,4,82)
r(41,8018,5,4,83)
r(71,10002,5,4,84)
r(87,10009,5,4,85)
r(22,4032,5,4,86)
r(54,8004,5,4,87)
r(54,8004,5,4,88)
r(28,8013,5,4,89)
r(70,0,5,4,90)
w(15,10030,5,4,91)
w(83,10031,5,4,92)
w(51,10032,5,4,93)
w(49,10033,5,4,94)
w(62,10034,5,4,95)
w(13,10035,5,4,96)
w(88,10036,5,4,97)
w(65,10037,5,4,98)
w(96,10038,5,4,99)
w(79,10039,5,5,100)
w(99,10040,5,5,101)
w(58,10041,5,5,102)
w(8,10042,5,5,103)
w(10,10043,5,5,104)
w(12,10044,5,5,105)
w(36,10045,5,5,106)
w(13,10046,5,5,107)
w(53,10047,5,5,108)
w(34,10048,5,5,109)
w(56,10049,5,5,110)
w(41,10050,5,5,111)
w(64,10051,5,5,112)
w(72,10052,5,5,113)
w(9,10053,5,5,114)
w(96,10054,5,5,115)
w(37,10055,5,5,116)
w(41,10056,5,5,117)
w(47,10057,5,5,118)
w(53,10058,5,5,119)
r(73,8011,5,6,120)
r(73,8011,5,6,121)
r(70,0,5,6,122)
r(8,10042,5,6,123)
r(57,10017,5,6,124)
r(0,8038,5,6,125)
r(43,6053,5,6,126)
r(98,10008,5,6,127)
r(10,10043,5,6,128)
r(0,8038,5,6,129)
w(51,10059,5,6,130)
w(97,10060,5,6,131)
w(93,10061,5,6,132)
w(20,10062,5,6,133)
w(5,10063,5,6,134)
w(59,10064,5,6,135)
w(46,10065,5,6,136)
w(94,10066,5,6,137)
w(50,10067,5,6,138)
w(61,10068,5,6,139)
r(58,10041,5,7,140)
r(32,6049,5,7,141)
r(36,8051,5,7,142)
r(88,8052,5,7,143)
r(99,2072,5,7,144)
r(55,2042,5,7,145)
r(52,8042,5,7,146)
r(23,8048,5,7,147)
r(94,10066,5,7,148)
r(12,6076,5,7,149)
r(82,6031,5,7,150)
r(83,6063,5,7,151)
w(86,10069,5,7,152)
w(35,10070,5,7,153)
w(10,10071,5,7,154)
w(45,10072,5,7,155)
w(53,10073,5,7,156)
w(30,10074,5,7,157)
w(83,10075,5,7,158)
w(95,10076,5,7,159)
r(80,4077,5,8,160)
r(61,4060,5,8,161)
r(89,2074,5,8,162)
r(96,2079,5,8,163)
r(13,10046,5,8,164)
r(18,6077,5,8,165)
r(9,8053,5,8,166)
r(17,4064,5,8,167)
r(34,8056,5,8,168)
w(85,10077,5,8,169)
w(86,10078,5,8,170)
w(19,10079,5,8,171)
w(18,10080,5,8,172)
w(33,10081,5,8,173)
w(42,10082,5,8,174)
w(96,10083,5,8,175)
w(56,10084,5,8,176)
w(71,10085,5,8,177)
w(56,10086,5,8,178)
w(13,10087,5,8,179)
r(83,4098,5,9,180)
r(63,2069,5,9,181)
r(98,4072,5,9,182)
r(96,2097,5,9,183)
r(91,8073,5,9,184)
r(19,10079,5,9,185)
r(89,2074,5,9,186)
r(78,2092,5,9,187)
r(53,10073,5,9,188)
r(22,4032,5,9,189)
r(98,4072,5,9,190)
r(70,6084,5,9,191)
r(86,10078,5,9,192)
r(96,2097,5,9,193)
r(86,10078,5,9,194)
r(43,4093,5,9,195)
r(12,6076,5,9,196)
w(6,10088,5,9,197)
w(2,10089,5,9,198)
w(18,10090,5,9,199)
r(35,10070,5,10,200)
r(15,6086,5,10,201)
r(81,2080,5,10,202)
r(23,8048,5,10,203)
r(81,2080,5,10,204)
r(69,0,5,10,205)
r(81,2080,5,10,206)
r(58,10041,5,10,207)
w(38,10091,5,10,208)
w(98,10092,5,10,209)
w(49,10093,5,10,210)
w(98,10094,5,10,211)
w(67,10095,5,10,212)
w(36,10096,5,10,213)
w(3,10097,5,10,214)
w(76,10098,5,10,215)
w(34,10099,5,10,216)
w(23,10100,5,10,217)
w(98,10101,5,10,218)
w(1,10102,5,10,219)
r(94,4104,5,11,220)
r(61,4108,5,11,221)
r(14,8070,5,11,222)
r(30,2111,5,11,223)
r(2,10089,5,11,224)
r(1,10102,5,11,225)
r(74,2093,5,11,226)
w(61,10103,5,11,227)
w(38,10104,5,11,228)
w(74,10105,5,11,229)
w(17,10106,5,11,230)
w(12,10107,5,11,231)
w(97,10108,5,11,232)
w(67,10109,5,11,233)
w(41,10110,5,11,234)
w(37,10111,5,11,235)
w(38,10112,5,11,236)
w(64,10113,5,11,237)
w(77,10114,5,11,238)
w(90,10115,5,11,239)
r(84,4135,5,12,240)
r(51,6064,5,12,241)
r(47,24008,5,12,242)
r(23,10100,5,12,243)
r(43,4093,5,12,244)
r(16,4138,5,12,245)
r(15,6086,5,12,246)
r(65,2122,5,12,247)
w(92,10116,5,12,248)
w(72,10117,5,12,249)
w(87,10118,5,12,250)
w(72,10119,5,12,251)
w(25,10120,5,12,252)
w(89,10121,5,12,253)
w(91,10122,5,12,254)
w(56,10123,5,12,255)
w(42,10124,5,12,256)
w(5,10125,5,12,257)
w(84,10126,5,12,258)
w(39,10127,5,12,259)
r(18,34025,5,13,260)
r(3,22022,5,13,261)
r(27,8097,5,13,262)
r(54,6102,5,13,263)
r(45,6123,5,13,264)
r(63,26017,5,13,265)
r(97,6126,5,13,266)
r(82,24010,5,13,267)
r(81,2127,5,13,268)
r(44,24026,5,13,269)
r(85,4118,5,13,270)
r(15,2131,5,13,271)
r(2,20013,5,13,272)
r(71,6125,5,13,273)
r(58,6128,5,13,274)
r(72,10119,5,13,275)
r(82,24010,5,13,276)
r(11,20022,5,13,277)
r(3,22022,5,13,278)
r(44,24026,5,13,279)
r(27,8097,5,14,280)
r(18,34025,5,14,281)
r(82,24010,5,14,282)
r(22,24007,5,14,283)
r(53,20012,5,14,284)
r(62,4091,5,14,285)
r(39,10127,5,14,286)
r(90,10115,5,14,287)
w(67,10128,5,14,288)
w(22,10129,5,14,289)
w(33,10130,5,14,290)
w(2,10131,5,14,291)
w(89,10132,5,14,292)
w(87,10133,5,14,293)
w(56,10134,5,14,294)
w(45,10135,5,14,295)
w(35,10136,5,14,296)
w(41,10137,5,14,297)
w(26,10138,5,14,298)
w(34,10139,5,14,299)
r(82,20040,5,15,300)
r(5,10125,5,15,301)
r(75,6143,5,15,302)
r(76,4157,5,15,303)
r(67,4146,5,15,304)
r(3,22022,5,15,305)
r(8,34026,5,15,306)
r(21,34040,5,15,307)
r(64,22042,5,15,308)
r(75,6143,5,15,309)
r(29,20048,5,15,310)
r(29,20048,5,15,311)
r(13,8125,5,15,312)
r(46,22038,5,15,313)
r(52,34041,5,15,314)
r(53,20032,5,15,315)
r(41,10137,5,15,316)
r(18,24051,5,15,317)
r(85,26039,5,15,318)
r(57,4141,5,15,319)
r(77,4147,5,16,320)
r(80,34061,5,16,321)
r(3,22022,5,16,322)
r(28,20045,5,16,323)
r(38,34036,5,16,324)
r(77,4147,5,16,325)
r(40,34060,5,16,326)
r(4,24052,5,16,327)
r(41,10137,5,16,328)
r(53,20032,5,16,329)
r(64,22042,5,16,330)
w(93,10140,5,16,331)
w(18,10141,5,16,332)
w(50,10142,5,16,333)
w(85,10143,5,16,334)
w(50,10144,5,16,335)
w(88,10145,5,16,336)
