w(1,1,0,0)
w(7,2,0,0)
w(5,3,0,0)
w(4,4,0,0)
w(4,5,0,0)
w(2,6,0,0)
w(7,7,0,0)
w(9,8,0,0)
w(4,9,0,0)
w(7,10,0,0)
w(0,11,0,1)
w(9,12,0,1)
w(7,13,0,1)
w(4,14,0,1)
w(6,15,0,1)
w(0,16,0,1)
w(9,17,0,1)
w(8,18,0,1)
w(4,19,0,1)
w(8,20,0,1)
w(7,21,0,2)
w(8,22,0,2)
w(2,23,0,2)
w(0,24,0,2)
w(5,25,0,2)
w(7,26,0,2)
w(2,27,0,2)
w(8,28,0,2)
w(3,29,0,2)
w(6,30,0,2)
r(1,219,0,3)
r(5,220,0,3)
r(8,217,0,3)
r(4,221,0,3)
r(0,24,0,3)
r(4,221,0,3)
w(7,31,0,3)
w(6,32,0,3)
w(5,33,0,3)
w(8,34,0,3)
r(4,221,0,4)
r(0,24,0,4)
r(2,224,0,4)
w(0,35,0,4)
w(7,36,0,4)
w(5,37,0,4)
w(9,38,0,4)
w(6,39,0,4)
w(1,40,0,4)
w(0,41,0,4)
r(1,40,0,5)
r(7,36,0,5)
r(1,40,0,5)
r(6,233,0,5)
w(3,42,0,5)
w(4,43,0,5)
w(4,44,0,5)
w(8,45,0,5)
w(6,46,0,5)
w(7,47,0,5)
r(9,241,0,6)
r(6,243,0,6)
r(1,237,0,6)
r(1,237,0,6)
w(2,48,0,6)
w(8,49,0,6)
w(9,50,0,6)
w(7,51,0,6)
w(3,52,0,6)
w(6,53,0,6)
r(3,52,0,7)
r(0,245,0,7)
r(7,51,0,7)
r(1,237,0,7)
w(9,54,0,7)
w(1,55,0,7)
w(2,56,0,7)
w(1,57,0,7)
w(6,58,0,7)
w(7,59,0,7)
r(4,44,0,8)
r(1,57,0,8)
r(7,59,0,8)
r(6,58,0,8)
r(4,44,0,8)
r(5,238,0,8)
r(0,245,0,8)
r(9,54,0,8)
r(0,245,0,8)
r(1,57,0,8)
r(2,0,1,9)
r(8,419,1,9)
r(6,415,1,9)
r(7,421,1,9)
r(2,0,1,9)
r(8,419,1,9)
r(6,415,1,9)
r(2,0,1,9)
r(6,415,1,9)
r(6,415,1,9)
w(8,201,1,10)
w(4,202,1,10)
w(3,203,1,10)
w(7,204,1,10)
w(9,205,1,10)
